Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986265
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.4107217
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.242876
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888649
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117256
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.166525
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.6581337
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574981
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744271
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.6172973
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.2270984
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848595
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.1314526
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328865
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.8387204
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809468
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293208
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.2176617
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.4067683
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.1521296
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599939
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.8501642
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595075
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.132355
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.075791
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.1374636
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021029
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.6226264
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.587084
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.1181046
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745627
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432508
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.7943802
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698092
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.98601
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520852
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593916
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.588711
44,17,Rural,Regular,15,4,Evening,Economy,98,353.3385451
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429042
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.2581554
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.0552744
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343855
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.5804041
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515261
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.9735688
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.053128
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.3441798
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.3017092
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.4921215
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.1150237
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621143
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577543
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.2404996
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.4926184
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451308
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.4664425
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.1453451
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681265
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608869
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568748
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.3570025
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.0383299
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.2629551
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369765
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024751
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.0906902
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576533
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.23448
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.5277288
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.7592754
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.1074735
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.696213
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.1158059
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418775
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.1690694
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003273
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.9628407
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.112701
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389
26,15,Urban,Regular,35,5,Morning,Premium,161,493.4068923
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.633356
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572086
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523524
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891065
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016247
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928861
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133395
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.1793412
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.2145833
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.8569895
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351909
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.5392948
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.9355593
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485036
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.557234
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147646
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.0447303
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.6583147
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.36208132
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576216
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.0663629
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.12824
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.9229249
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454569
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.0505481
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.8683562
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420493
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935712
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505747
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.3029746
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.9735753
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669926
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.6294341
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435329
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.3118381
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.7614397
